Date,Record Number,Record Type,Description,Project Name,Status,Short Notes
9/18/2019,BCP2019-090616,Building - Over the Counter Permit,REPLACE 150 AMP PANEL AND BREAKERS,,Completed,Electrical
9/18/2019,BCP2019-090609,Building - Over the Counter Permit,"Online Permit - A/C Change Out - ECO COMFORTMAKER BRAND 2.5 TON 14 SEER STR COOL SPLIT SYSTEM W/7.5KW HEAT. COND MOD#NXA430GKC, A/H MOD#FEM4P3000AL (Air Handler,Condenser)",RIGGS,Completed,A/C Change Out
9/18/2019,BCP2019-090598,Building - Over the Counter Permit,"Online Permit - A/C Change Out - E/C/O A RHEEM 2.5 TON 14 SEER SYSTEM (Air Handler,Condenser)",ALICE DEMP,Completed,A/C Change Out
9/18/2019,BCP2019-090597,Building - Over the Counter Permit,Online Permit - Water Heater Change Out - install water heater,Martin Water Heater,Completed,Water Heater Change Out
9/18/2019,BCP2019-090588,Building - Over the Counter Permit,Online Permit - Electrical - BOAT SLIP #12: Install wiring for cradle boat lift from shorepower pedestal on dock.  Install double RAB Bullet flood fixtures. (Add Outlets/Circuits),Lefsky Lift - Slip 12,Completed,Electrical
9/18/2019,BCP2019-090588,Building - Over the Counter Permit,Online Permit - Electrical - BOAT SLIP #12: Install wiring for cradle boat lift from shorepower pedestal on dock.  Install double RAB Bullet flood fixtures. (Add Outlets/Circuits),Lefsky Lift - Slip 12,Completed,Electrical
9/18/2019,BCP2019-090581,Building - Over the Counter Permit,Online Permit - Water Heater Change Out - REPLACEMENT OF 40 GAL ELEC WATER HEATER,ALBERT,Completed,Water Heater Change Out
9/18/2019,FIR2019-09015,Building - Fire,INSTALLATION OF A FIRE SPRINKLER SYSTEM,DREW HEALTH CARE,Active,Fire Sprinkler
9/18/2019,FIR2019-02010A,Building - Fire,AREA OF REFUGE SYSTEM ADDED TO PROJECT; RISER ADDED TO SHEET,MADISON POINT LLC,Completed,Fire Alarm
9/18/2019,FIR2019-09014,Building - Fire,"AREA OF REFUGE SYSTEM ADDED TO PROJECT, RISER  ADDED TO SHEET",MADISON POINT LLC,Void,Fire Alarm
9/18/2019,FIR2019-09013,Building - Fire,INSTALL NEW DETECTORS & RELAYS FOR ELEVATOR RECALL TO BE TIED INTO THE EXISTING FIRE ALARM SYSTEM; PIPER FIRE WILL TEST AND CERTIFY WITH THE AHJ,SEA ISLAND NORTH,Active,Fire Alarm
9/18/2019,BCP2019-090625,Building - Construction Permit,INSTALLATION OF BUS SHELTER AND CONCRETE SLAB,PSTA BUS SHELTER & SLAB,Active,"New Accessory (Shed, Deck)"
9/18/2019,BCP2019-090624,Building - Construction Permit,NEW ELECTRIC METER FOR DOT METER ONLY REPLACING OLD METER FOR TRAFFIC LIGHT,DOT EL METER,Completed,Electrical
9/18/2019,BCP2019-090623,Building - Construction Permit,"REMOVE AND DISPOSE OF ALL STRUCTURES INCLUDING CONCRETE SLAB AND FOOTER, TREE PERMIT PULLED SEPARATE TRE2019-09029",AVALON CLUB LLC,Completed,Demo - Building
9/18/2019,BCP2019-090622,Building - Construction Permit,"FOUNDATION STABILIZATION WITH UNDERPINNING BASED ON MARIO PARRA, PE REPORT",TRUSTEE MGMT SERVICES LLC,Completed,Foundation
9/18/2019,BCP2019-090621,Building - Construction Permit,"REMOVE AND DISPOSE OF ALL STRUCTURES INCLUDING CONCRETE SLAB AND FOOTER, TREE PERMIT PULLED SEPARATE TRE2019-09029",AVALON CLUB LLC,Completed,Demo - Building
9/18/2019,BCP2019-090620,Building - Construction Permit,"REMOVE AND DISPOSE OF ALL STRUCTURES INCLUDING CONCRETE SLAB AND FOOTER, TREE PERMIT PULLED SEPARATE TRE2019-09029",AVALON CLUB LLC,Completed,Demo - Building
9/18/2019,BCP2019-090619,Building - Construction Permit,"Online Permit - PIPE NATURAL GAS TO GENERATOR, OUTDOOR TANKLESS WATER HEATER, AND FIRE PLACE","COOLY, MYRA",Completed,New
9/18/2019,BCP2019-090618,Building - Construction Permit,Online Permit - AC CHANGEOUT 3 TON CARRIER SPLIT SYSTEM 25VNA836A003/FE4ANF005L00 34200 BTUH 17.5 SEER,AC CHANGEOUT,Completed,A/C Change Out
9/18/2019,BCP2019-090617,Building - Construction Permit,"RE-ROOF 2 FLAT, 23SQ, FL10124.1, FL16048.1, FL2533.21",STREAMS OF LIFE CHURCH OF GOD,Completed,Roof
9/18/2019,BCP2019-090615,Building - Construction Permit,"INSTALL VINYL FENCE, 4' AND 6' FEET, 140LF AND 156LF",HEATHER M CROUCHER,Completed,Fence
9/18/2019,BCP2019-090614,Building - Construction Permit,"NEW INGROUND SWIMMING POOL, PAVER DECK NO SPA ON THIS PERMIT ONLY POOL UPGRADE",JEFF CANTRELL,Completed,"New Accessory (Shed, Deck)"
